Date,Canal,Category,SubCategory1,SubCategory2,Subcategory3,Marca,Modelo,SKU,UPC,Item,ItemCharacteristics,URLSKU,Image,Price,SalePrice,Shipment Cost,Sales Flag,Store ID,Store Name,Store Address,Stock,UPC WM,FinalPrice,Brand
,,Limpieza,Papel Higiénico y Pañuelos,Pañuelos,,,,7501017364510,,Pañuelos Desechables Kleenex 3 Hojas Neutro 100pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7501017364510_01.webp,41.29,47.9,,,,,,43,,,KLEENEX
,,Limpieza,Papel Higiénico y Pañuelos,Pañuelos,,,,7501017361113,,Pañuelos Desechables Kleenex Brand Caja con 180pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7501017361113_01.webp,38.1,44.2,,,,,,34,,,KLEENEX
,,Limpieza,Papel Higiénico y Pañuelos,Pañuelos,,,,7501017361120,,Pañuelos Desechables Kleenex Brand Caja con 70pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7501017361120_01.webp,11.03,12.79,,,,,,33,,,KLEENEX
,,Limpieza,Papel Higiénico y Pañuelos,Pañuelos,,,,7506425613168,,Pañuelos Desechables Kleenex Clásicos 90pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7506425613168_01.webp,20.43,23.7,,,,,,88,,,KLEENEX
,,Limpieza,Papel Higiénico y Pañuelos,Pañuelos,,,,7501017367498,,Pañuelos Desechables Kleenex Cold Care Mentol Caja con 60pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7501017367498_01.webp,44.74,51.9,,,,,,41,,,KLEENEX
,,Limpieza,Papel Higiénico y Pañuelos,Pañuelos,,,,7501943414693,,Pañuelos Desechables Kleenex Menta Fresca 140pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7501943414693_01.webp,33.02,38.3,,,,,,21,,,KLEENEX
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7502247338586,,Papel Higénico Big Roll de 550 hojas con 6pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7502247338586_01.webp,43.1,50.0,,,,,,101,,,BIG
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501050410670,,Papel Higiénico Adorable con 650 hojas 6Pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7501050410670_01.webp,39.22,45.5,,,,,,60,,,ADORABLE
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501050410687,,Papel Higiénico Delicatto con 6pzs de 550 hojas.,,,https://farmaciatepa.com.mx/FT/img/products/7501050410687_01.webp,41.12,47.7,,,,,,96,,,DELICATTO
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7502247335677,,Papel Higiénico Elite Rojo con 4pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7502247335677_01.webp,19.74,22.9,,,,,,39,,,ELITE
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501050410793,,Papel higiénico Facial Quality 4 rollos con 350 hojas dobles.,,,https://farmaciatepa.com.mx/FT/img/products/7501050410793_01.webp,24.05,27.9,,,,,,0,,,FACIAL QUALITY
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501050410953,,Papel Higiénico Hortensia 650 hojas con 4pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7501050410953_01.webp,37.59,43.6,,,,,,43,,,HORTENSIA
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501050410366,,Papel Higiénico Hortensia Supreme Rosa con 4pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7501050410366_01.webp,27.76,32.2,,,,,,0,,,HORTENSIA
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501050410311,,Papel Higiénico Hortensia Supreme Verde con 4pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7501050410311_01.webp,23.97,27.81,,,,,,60,,,HORTENSIA
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501050410144,,Papel Higiénico Iris con 4pzs.,,,https://farmaciatepa.com.mx/FT/img/products/7501050410144_01.webp,13.62,15.8,,,,,,18,,,IRIS
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501943456235,,Papel Higiénico Kleenex Cottonelle Soft con 40pzs de 180 hojas.,,,,205.95,238.9,,,,,,20,,,KLEENEX
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,823703800247,,Papel Higiénico Máxima con 4 rollos de 400 hojas.,,,https://farmaciatepa.com.mx/FT/img/products/823703800247_01.webp,22.41,26.0,,,,,,41,,,MAXIMA
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,823703800988,,Papel Higiénico Máxima Manzanilla con 4 rollos de 430 hojas.,,,https://farmaciatepa.com.mx/FT/img/products/823703800988_01.webp,24.83,28.8,,,,,,30,,,MAXIMA
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,823703160273,,Papel Higiénico Máxima Tender con 4 rollos de 400 hojas.,,,https://farmaciatepa.com.mx/FT/img/products/823703160273_01.webp,21.21,24.6,,,,,,19,,,MAXIMA
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7506425606047,,Pétalo Papel Higienico Ultra Resistente 500 Hojas Dobles 6 Rollos,,,,46.55,54.0,,,,,,57,,,PÉTALO
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,099072000674,,PREMIER PAPEL HIG 400H 4ROLL C/12,,,https://farmaciatepa.com.mx/FT/img/products/099072000674_01.webp,24.22,28.1,,,,,,8,,,PREMIER
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501036622455,,Regio Papel Higiénico Just-1 con 6 Rollos,,,,78.88,91.5,,,,,,28,,,REGIO
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501036619233,,Regio Papel Higiénico Rinde 4 Rollos,,,https://farmaciatepa.com.mx/FT/img/products/7501036619233_01.webp,22.07,25.6,,,,,,0,,,REGIO
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501036623469,,Regio Papel Higiénico Rinde Más 4 Rollos,,,https://farmaciatepa.com.mx/FT/img/products/7501036623469_01.webp,30.34,35.19,,,,,,1,,,REGIO
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7501007703909,,Suavel Papel Higienico 12 Rollos 200 hojas,,,https://farmaciatepa.com.mx/FT/img/products/7501007703909_01.webp,48.36,56.1,,,,,,12,,,SUAVEL
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,823703160013,,Tender Papel Higienico 375 H 4 Rollos,,,https://farmaciatepa.com.mx/FT/img/products/823703160013_01.webp,18.02,20.9,,,,,,52,,,TENDER
,,Limpieza,Papel Higiénico y Pañuelos,Papel Higiénico,,,,7506425605330,,Vogue Papel higiénico Manzanilla 4 Rollos 559 hojas,,,https://farmaciatepa.com.mx/FT/img/products/7506425605330_01.webp,29.05,33.7,,,,,,52,,,VOGUE
,,Limpieza,Limpieza General,Fibras y Trapos,,,,051111505205,,3M SCOTCH BRITE MICROFIBRA PAÑO CD/DVD IPZ/20,,,https://farmaciatepa.com.mx/FT/img/products/051111505205_01.webp,33.79,39.2,,,,,,18,,,3M
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7506306244795,,Axe Aerosol Desodorante Intense 150 ml,,,https://farmaciatepa.com.mx/FT/img/products/7506306244795_01.webp,46.81,54.3,,,,,,7,,,AXE
,,Limpieza,Limpieza General,Equipo de Limpieza,,,,7502229333066,,Cepillo Clippper Práctico.,,,https://farmaciatepa.com.mx/FT/img/products/7502229333066_01.webp,38.79,45.0,,,,,,10,,,CLIPPER
,,Limpieza,Limpieza General,Equipo de Limpieza,,,,7502229333127,,Clipper Escobeta de Plástico,,,https://farmaciatepa.com.mx/FT/img/products/7502229333127_01.webp,24.14,28.0,,,,,,23,,,CLIPPER
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501026053191,,Colibrí Limpiador  Jardín de Rosas 3.785 L,,,https://farmaciatepa.com.mx/FT/img/products/7501026053191_01.webp,62.33,72.3,,,,,,4,,,COLIBRI
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501026054044,,Colibrí Limpiador  Lilia Silvestre 1 L,,,https://farmaciatepa.com.mx/FT/img/products/7501026054044_01.webp,18.45,21.4,,,,,,0,,,COLIBRI
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501026053092,,Colibrí Limpiador  Limón de Colima 500 ml,,,https://farmaciatepa.com.mx/FT/img/products/7501026053092_01.webp,10.52,12.2,,,,,,2,,,COLIBRI
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501026054013,,Colibrí Limpiador  Musgo y Madera 1 L,,,https://farmaciatepa.com.mx/FT/img/products/7501026054013_01.webp,18.45,21.4,,,,,,0,,,COLIBRI
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,75017187,,Colibrí Limpiador  Musgo y Madera 500 ml,,,https://farmaciatepa.com.mx/FT/img/products/75017187_01.webp,10.52,12.2,,,,,,0,,,COLIBRI
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501026054020,,Colibrí Limpiador Invierno 1 L,,,https://farmaciatepa.com.mx/FT/img/products/7501026054020_01.webp,18.45,21.4,,,,,,1,,,COLIBRI
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,75017194,,Colibrí Limpiador Invierno 500 ml,,,https://farmaciatepa.com.mx/FT/img/products/75017194_01.webp,10.52,12.2,,,,,,0,,,COLIBRI
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501026053108,,Colibrí Limpiador Jardín de Rosas 500 ml,,,https://farmaciatepa.com.mx/FT/img/products/7501026053108_01.webp,10.52,12.2,,,,,,0,,,COLIBRI
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501058716651,,Desinfectante de Superficies Líquido Lysol Citrus 5L,,,https://farmaciatepa.com.mx/FT/img/products/7501058716651_01.webp,119.83,139.0,,,,,,5,,,LYSOL
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501058713858,,Desinfectante Multiusos Líquido Lysol Citrus Antibacterial 820ml.,,,https://farmaciatepa.com.mx/FT/img/products/7501058713858_01.webp,23.02,26.7,,,,,,14,,,LYSOL
,,Limpieza,Limpieza General,Muebles y Ceras,,,,7500435138826,,Detergente en Polvo Ariel Toque Downey 750gr.,,,https://farmaciatepa.com.mx/FT/img/products/7500435138826_01.webp,37.84,43.89,,,,,,41,,,ARIEL
,,Limpieza,Limpieza General,Limpieza de Baño,,,,7501032914110,,Discos Activos Pato Brisa del Mar 2 pz,,,https://farmaciatepa.com.mx/FT/img/products/7501032914110_01.webp,21.98,25.5,,,,,,0,,,PATO
,,Limpieza,Limpieza General,Equipo de Limpieza,,,,7502229333110,,Escobeta Clipper Grande de Raíz.,,,https://farmaciatepa.com.mx/FT/img/products/7502229333110_01.webp,17.84,20.69,,,,,,23,,,CLIPPER
,,Limpieza,Limpieza General,Equipo de Limpieza,,,,7502229333219,,Estropajo Clipper Sin Bies.,,,https://farmaciatepa.com.mx/FT/img/products/7502229333219_01.webp,3.19,3.7,,,,,,10,,,CLIPPER
,,Limpieza,Limpieza General,Equipo de Limpieza,,,,7502229333042,,FALTA INFO,,,https://farmaciatepa.com.mx/FT/img/products/7502229333042_01.webp,42.67,49.5,,,,,,18,,,CLIPPER
,,Limpieza,Limpieza General,Lavatrastes y Lavavajillas,,,,7509546076171,,Lavatrastes Axion Toque de Crema Y Avena 640ml.,,,https://farmaciatepa.com.mx/FT/img/products/7509546076171_01.webp,49.4,57.3,,,,,,11,,,AXION
,,Limpieza,Limpieza General,Lavatrastes y Lavavajillas,,,,7501025406646,,Lavatrastes Cloralex Desinfectante Limón 750ml.,,,https://farmaciatepa.com.mx/FT/img/products/7501025406646_01.webp,38.71,44.9,,,,,,0,,,CLORALEX
,,Limpieza,Limpieza General,Lavatrastes y Lavavajillas,,,,7501025423704,,Lavatrastes Líquido Eficaz Limón 500ml.,,,https://farmaciatepa.com.mx/FT/img/products/7501025423704_01.webp,18.36,21.3,,,,,,0,,,EFICAZ
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501026053009,,Limpiador Líquido Colibrí Jardín de Rosas 1L.,,,https://farmaciatepa.com.mx/FT/img/products/7501026053009_01.webp,18.36,21.3,,,,,,0,,,COLIBRI
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501026053054,,Limpiador Líquido Colibrí Limón de Colima 1L.,,,https://farmaciatepa.com.mx/FT/img/products/7501026053054_01.webp,18.45,21.4,,,,,,0,,,COLIBRI
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501199400075,,Limpiador Multiusos Líquido Bref Densicloro 2L.,,,https://farmaciatepa.com.mx/FT/img/products/7501199400075_01.webp,42.16,48.91,,,,,,9,,,BREF
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501199420509,,Limpiador Multiusos Líquido Bref Densicloro Pino 2L.,,,https://farmaciatepa.com.mx/FT/img/products/7501199420509_01.webp,42.16,48.91,,,,,,9,,,BREF
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7509546051956,,Limpiador Multiusos Líquido Fabuloso Alternativa al Cloro 1L.,,,https://farmaciatepa.com.mx/FT/img/products/7509546051956_01.webp,23.02,26.7,,,,,,9,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7509546008202,,Limpiador Multiusos Líquido Fabuloso Energía Naranja 1L.,,,https://farmaciatepa.com.mx/FT/img/products/7509546008202_01.webp,23.02,26.7,,,,,,27,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501035910096,,Limpiador Multiusos Líquido Fabuloso Fresco Amanecer 1L.,,,https://farmaciatepa.com.mx/FT/img/products/7501035910096_01.webp,23.02,26.7,,,,,,58,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501035906464,,Limpiador Multiusos Líquido Fabuloso Fresco Amanecer 500ml.,,,https://farmaciatepa.com.mx/FT/img/products/7501035906464_01.webp,16.21,18.8,,,,,,19,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7509546020754,,Limpiador Multiusos Líquido Fabuloso Lavanda 10L.,,,,210.34,243.99,,,,,,3,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501035910034,,Limpiador Multiusos Líquido Fabuloso Lavanda 1L.,,,https://farmaciatepa.com.mx/FT/img/products/7501035910034_01.webp,23.02,26.7,,,,,,95,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501035905344,,Limpiador Multiusos Líquido Fabuloso Lavanda 2L.,,,https://farmaciatepa.com.mx/FT/img/products/7501035905344_01.webp,57.76,67.0,,,,,,9,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,75001162,,Limpiador Multiusos Líquido Fabuloso Lavanda 500ml.,,,https://farmaciatepa.com.mx/FT/img/products/75001162_01.webp,16.21,18.8,,,,,,21,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501035905382,,Limpiador Multiusos Líquido Fabuloso Lavanda 5L.,,,https://farmaciatepa.com.mx/FT/img/products/7501035905382_01.webp,162.93,189.0,,,,,,8,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501035910041,,Limpiador Multiusos Líquido Fabuloso Mar Fresco 1L.,,,https://farmaciatepa.com.mx/FT/img/products/7501035910041_01.webp,23.02,26.7,,,,,,37,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7501035905368,,Limpiador Multiusos Líquido Fabuloso Mar Fresco 2L.,,,https://farmaciatepa.com.mx/FT/img/products/7501035905368_01.webp,57.76,67.0,,,,,,14,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,75001186,,Limpiador Multiusos Líquido Fabuloso Mar Fresco 500ml.,,,https://farmaciatepa.com.mx/FT/img/products/75001186_01.webp,16.21,18.8,,,,,,13,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7509546655963,,Limpiador Multiusos Líquido Fabuloso Natural Essentials 828ml.,,,https://farmaciatepa.com.mx/FT/img/products/7509546655963_01.webp,31.12,36.1,,,,,,0,,,FABULOSO
,,Limpieza,Limpieza General,Limpiador Multiusos,,,,7509546008295,,Limpiador Multiusos Líquido Fabuloso Pasión de Frutas 1L.,,,https://farmaciatepa.com.mx/FT/img/products/7509546008295_01.webp,23.02,26.7,,,,,,48,,,FABULOSO
